"ID_REF"	"GSM5019817"	"GSM5019818"	"GSM5019819"	"GSM5019820"	"GSM5019821"	"GSM5019822"	"GSM5019823"	"GSM5019824"	"GSM5019825"	"GSM5019826"	"GSM5019827"	"GSM5019828"	"GSM5019829"	"GSM5019830"	"GSM5019831"
"ASHG19AP1B100007471V5"	7.770757	6.4935393	6.1407166	5.6444674	6.1579037	6.793898	6.7155967	6.473628	6.2190113	6.280834	7.4960895	6.6669884	5.9367404	5.9765644	3.7216256
"ASHG19AP1B100007489V5"	2.7037127	2.5923858	2.466728	2.3339167	2.433693	3.559408	2.862478	2.3249514	2.8149893	3.3032131	3.7741241	5.064001	4.170878	2.7479913	4.313201
"ASHG19AP1B100007505V5"	12.374375	14.054915	14.39371	14.328407	13.889318	13.581013	13.089607	13.355844	14.241084	14.323291	12.996627	13.292456	12.488122	12.498538	12.475912
"ASHG19AP1B100007572V5"	7.3005915	10.001051	9.37883	8.087897	8.490053	8.385182	6.3906765	6.932927	5.7256775	10.019151	8.513412	7.885606	7.0094647	6.410579	7.0981464
"ASHG19AP1B100007631V5"	11.8098955	12.2868395	12.3265295	12.604664	13.07657	11.980906	11.71146	12.344298	11.408806	11.357421	11.389464	11.423979	10.924205	11.166999	11.153566
"ASHG19AP1B100007655V5"	4.353719	2.33273	3.5152597	3.5100865	2.3352275	2.4724936	2.3327425	2.3287523	2.3392348	2.3609407	2.814921	3.7310896	2.6201525	2.7479913	2.333044
"ASHG19AP1B100007656V5"	7.9896383	7.863443	7.167575	7.043106	7.537332	8.644937	9.429598	9.30462	10.340481	10.252253	10.567505	10.716321	10.136799	10.125884	10.099406
"ASHG19AP1B100007657V5"	2.7037127	2.426884	4.2941155	2.3339167	2.410841	2.6093853	2.9666367	3.6404767	2.7496436	3.0196583	2.814921	2.745772	4.0498624	2.7479913	2.7598577
"ASHG19AP1B100007658V5"	2.7037127	3.6880074	3.2070875	3.2337112	3.5054681	2.998997	3.5148537	2.777742	3.280922	2.673714	2.814921	2.745772	3.4461734	2.7479913	2.886301
"ASHG19AP1B100007659V5"	9.037442	11.028749	11.370796	10.841401	10.121767	9.916378	10.105914	10.282421	11.250057	11.23194	11.112257	11.499245	11.282689	11.651173	12.020399
"ASHG19AP1B100007664V5"	8.2714405	7.08105	7.006994	6.855456	6.9466877	7.6154013	7.504284	7.023569	7.6827626	7.4468694	8.933556	8.170925	8.060343	8.011166	7.8188715
"ASHG19AP1B100007740V5"	9.041466	9.43109	9.42328	9.036046	8.783378	7.4547944	7.8961983	7.232596	7.550251	7.472278	7.9659953	6.8903146	6.092342	6.0465064	5.919315
"ASHG19AP1B100007773V5"	6.1608043	6.844459	6.7834916	5.7377024	5.649554	6.151539	5.895658	5.7481794	3.4274163	6.3703194	6.8634706	3.7608242	4.53911	4.0647473	2.333044
"ASHG19AP1B100007797V5"	7.7756743	9.207899	8.138428	7.880304	8.577059	8.454418	8.626052	7.891792	8.424408	8.913364	7.5068774	7.9529376	8.312493	8.029161	8.919261
"ASHG19AP1B100007880V5"	2.7037127	2.4380126	2.466728	2.3339167	2.3352275	2.8720388	2.3327425	4.4128504	2.3392348	2.3609407	4.373268	5.0062222	2.6201525	3.5764463	2.333044
"ASHG19AP1B100007881V5"	3.7905154	2.6822844	3.2491684	3.1712773	3.6761003	2.7820125	2.95814	2.3261137	2.3392348	2.607183	2.814921	2.745772	2.6201525	2.7479913	3.4473033
"ASHG19AP1B100007882V5"	12.046044	12.27269	11.996896	11.112982	10.999111	11.18968	11.277682	10.755243	11.567068	10.870516	13.232951	13.923322	14.771526	14.148202	14.100109
"ASHG19AP1B100007883V5"	3.679293	3.373311	4.044601	4.656364	3.549585	3.4756083	2.8636193	4.7845974	4.2045484	3.8136995	3.9111526	2.745772	3.806272	4.1175857	3.4756083
"ASHG19AP1B100007884V5"	5.099715	3.2088454	2.466728	3.3304126	2.9672687	4.2624383	3.8921502	4.3400426	4.5651245	3.7055411	6.0962825	6.30479	5.6791234	6.4204235	5.7455325
"ASHG19AP1B100007946V5"	4.0038986	3.6364183	2.9224737	2.9017282	3.8260348	3.9017243	4.850889	3.8324518	5.067143	5.390423	6.0262947	3.9422	3.6947217	3.912068	2.4997606
"ASHG19AP1B100007985V5"	2.7037127	3.1187685	2.466728	2.3339167	3.042728	2.6081324	2.3327425	2.3219297	2.3392348	2.3609407	2.814921	2.745772	3.5733793	2.7479913	2.7001827
"ASHG19AP1B100008081V5"	4.362561	3.3220625	4.522298	3.6319506	2.8643396	4.039409	4.61377	3.449684	3.67864	4.1151695	4.6486816	4.577752	4.765315	5.4688926	4.5860834
"ASHG19AP1B100008084V5"	8.567608	8.479555	8.130749	8.314314	9.026403	7.1993923	7.3859725	7.358728	7.255157	7.464189	7.3438416	6.8874087	7.3516436	7.1064444	7.434704
"ASHG19AP1B100008093V5"	5.5359044	5.758753	4.766318	4.967095	5.8327456	3.7828648	4.1401887	3.1778631	4.1503143	4.0486274	5.71322	4.9035163	4.662211	5.0538216	3.5044003
"ASHG19AP1B100008114V5"	5.893336	4.4051757	5.382117	5.443292	5.2779727	4.644453	4.8594217	5.3138733	5.7053957	4.513959	5.217654	4.876773	5.6995792	4.5956674	4.3482313
"ASHG19AP1B100008115V5"	2.7037127	3.2058415	2.466728	2.3339167	2.9919093	2.3326864	2.3327425	2.976243	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100008116V5"	13.158274	12.176136	12.590426	12.845664	12.53449	12.117091	11.555021	11.678736	11.32099	11.220702	11.398254	11.540953	14.35036	12.572036	12.648199
"ASHG19AP1B100008117V5"	7.097176	12.422019	11.695349	12.670237	13.375273	10.005433	11.031655	9.180328	7.9627333	7.753164	7.9095445	9.25017	8.367516	7.5592637	8.676505
"ASHG19AP1B100008126V5"	5.0812354	4.824353	5.076038	4.903636	5.026225	6.74705	6.672022	5.821052	6.4018683	5.7371264	5.22687	6.175972	5.768054	5.874742	6.8409033
"ASHG19AP1B100008285V5"	2.7037127	3.437265	3.679145	3.4490254	3.1918297	3.1816452	3.150486	2.3363729	3.8130593	3.0573394	4.7563834	4.1439533	3.8817666	2.7479913	3.953075
